run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
3,EBE,128,num_samples,90000000,4.720,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,EBE,128,precision,1632010149,88.347,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,1,num_samples,90000000,658.972,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,1,precision,N/A,6000.107,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,2,num_samples,90000000,346.272,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,2,precision,N/A,6000.034,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,4,num_samples,90000000,181.451,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,4,precision,1632010149,4924.379,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,8,num_samples,90000000,94.161,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,8,precision,1632010149,1728.398,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,16,num_samples,90000000,54.081,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,16,precision,1632010149,908.364,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,32,num_samples,90000000,27.876,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,32,precision,1632010149,561.353,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,64,num_samples,90000000,22.673,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,64,precision,1632010149,408.112,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,128,num_samples,90000000,13.934,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,NBE,128,precision,1632010149,287.098,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,1,num_samples,90000000,85.609,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,1,precision,1632010149,1551.767,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,2,num_samples,90000000,62.709,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,2,precision,1632010149,1191.904,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,4,num_samples,90000000,40.479,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
3,MCMC,4,precision,1632010149,893.612,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sMCMC -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
